One_of_top_3_CPC_for_PC,CPC Description,Device Type (PC) Description,PRODUCTCODE
A61F2220/0025,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Filters; Devices providing patency to tubular structures; Prostheses; Accessories; Fixations or connections for prostheses classified in groups A61F2/00-A61F2/26 or A61F2/82 or A61F9/00 or A61F11/00 or subgroups thereof-- .Connections or couplings between prosthetic parts, e.g. between modular parts; Connecting elements","External assembled lower limb prosthesis. --Assembly, Thigh/Knee/Shank/Ankle/Foot, External",KFX
A61F5/05891,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Orthopaedic methods or devices for non-surgical treatment of bones or joints (surgical instruments or methods for treatment of bones or joints, devices specially adapted therefor A61B17/56); Nursing devices; {Anti-rape devices}(bandages, dressings or absorbent pads A61F13/00)-- .Orthopaedic devices, e.g. splints, casts or braces-- ..Devices for stretching or reducing fractured limbs; Devices for distractions; Splints {plaster of Paris bandages A61F13/04; with surgery A61B17/60}-- ...for immobilising (A61F5/0102 takes precedence)-- ....Splints-- .....for the neck or head (A61F5/05816, A61F5/05833 take precedence; cervical supports A61F5/055)-- ......for the head, e.g. jaws, nose (nose correcting A61F5/08)","Pediatric medical crib. --Bed, Pediatric Open Hospital",FMS
A61F2007/0071,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Heating or cooling appliances for medical or therapeutic treatment of the human body (heating or cooling means in connection with bedsteads or mattresses A47C21/00{; massage, therapeutic baths A61H}; ; hyperthermia using electric or magnetic fields or ultrasound A61N; electric heating elements H05B)-- .characterised by electric heating-- ..using a resistor, e.g. near the spot to be heated","Pediatric medical crib. --Bed, Pediatric Open Hospital",FMS
A61F7/007,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Heating or cooling appliances for medical or therapeutic treatment of the human body (heating or cooling means in connection with bedsteads or mattresses A47C21/00{; massage, therapeutic baths A61H}; ; hyperthermia using electric or magnetic fields or ultrasound A61N; electric heating elements H05B)-- .characterised by electric heating","Pediatric medical crib. --Bed, Pediatric Open Hospital",FMS
A61N1/3931,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)-- Electrotherapy; Circuits therefor (A61N2/00 takes precedence; irradiation apparatus A61N5/00)-- .Applying electric currents by contact electrodes-- ..alternating or intermittent currents {applying electric fields by inductive or capacitive coupling A61N1/40; microwave apparatus A61N5/02}-- ...for producing shock effects-- ....Heart defibrillators-- .....Monitoring; Protecting-- ......Protecting, e.g. back-up systems","AC-powered medical examination light. --Device, Medical Examination, Ac Powered",KZF
H02J2310/23,"ELECTRICITY-- GENERATION; CONVERSION OR DISTRIBUTION OF ELECTRIC POWER-- CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY-- The network for supplying or distributing electric power characterised by its spatial reach or by the load-- .The network having a local or delimited stationary reach-- ..The network being internal to a load-- ...The load being a medical device, a medical implant, or a life supporting device","AC-powered medical examination light. --Device, Medical Examination, Ac Powered",KZF
A61B2560/0437,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Details of surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body-- Constructional details of operational features of apparatus; Accessories for medical measuring apparatus-- .Constructional details of apparatus-- ..Trolley or cart-type apparatus","AC-powered medical examination light. --Device, Medical Examination, Ac Powered",KZF
A61F2/0063,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Filters implantable into blood vessels; Prostheses, i.e. artificial substitutes or replacements for parts of the body; Appliances for connecting them with the body; Devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents (as cosmetic articles, see the relevant subclasses, e.g. wigs, hair pieces, A41G3/00, A41G5/00; artificial nails A45D31/00; dental prostheses A61C13/00; materials for prostheses A61L27/00; artificial hearts A61M60/00; artificial kidneys A61M1/14)-- .Implantable repair or support meshes, e.g. hernia meshes","Rectal dilator. --Dilator, Rectal",FFP
A61B17/06,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .for suturing wounds; Holders or packages for needles or suture materials (suture materials A61L17/00)-- ..Needles {; Sutures; Needle-suture combinations}; Holders or packages for needles or suture materials (puncturing needles A61B17/34; hypodermic needles A61M5/32{; sewing needles D05B85/00})","Rectal dilator. --Dilator, Rectal",FFP
A61B2017/06076,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .for suturing wounds; Holders or packages for needles or suture materials (suture materials A61L17/00)-- ..Needles {; Sutures; Needle-suture combinations}; Holders or packages for needles or suture materials (puncturing needles A61B17/34; hypodermic needles A61M5/32{; sewing needles D05B85/00})-- ...Needles, e.g. needle tip configurations (making needles B21G1/00)-- ....helically or spirally coiled (for sutures A61B2017/06171)","Rectal dilator. --Dilator, Rectal",FFP
A61B6/4441,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Apparatus for radiation diagnosis, e.g. combined with radiation therapy equipment (instruments measuring radiation intensity for application in the field of nuclear medicine, e.g. in vivo counting, G01T1/161; apparatus for taking X-ray photographs G03B42/02)-- .Constructional features of apparatus for radiation diagnosis-- ..related to the mounting of source units and detector units-- ...the source unit and the detector unit being coupled by a rigid structure-- ....the rigid structure being a C-arm or U-arm","Diagnostic x-ray high voltage generator. --Generator, High-Voltage, X-Ray, Diagnostic",IZO
A61B6/542,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Apparatus for radiation diagnosis, e.g. combined with radiation therapy equipment (instruments measuring radiation intensity for application in the field of nuclear medicine, e.g. in vivo counting, G01T1/161; apparatus for taking X-ray photographs G03B42/02)-- .Control of apparatus or devices for radiation diagnosis-- ..involving control of exposure","Diagnostic x-ray high voltage generator. --Generator, High-Voltage, X-Ray, Diagnostic",IZO
A61B6/504,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Apparatus for radiation diagnosis, e.g. combined with radiation therapy equipment (instruments measuring radiation intensity for application in the field of nuclear medicine, e.g. in vivo counting, G01T1/161; apparatus for taking X-ray photographs G03B42/02)-- .Clinical applications (dentistry A61B6/14 takes precedence)-- ..involving diagnosis of blood vessels, e.g. by angiography","Diagnostic x-ray high voltage generator. --Generator, High-Voltage, X-Ray, Diagnostic",IZO
A61B18/1492,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body (eye surgery A61F9/007; ear surgery A61F11/00)-- .by heating (by applying electromagnetic radiation A61B18/18; hyperthermia using electric or magnetic fields, radiation or ultrasound A61N)-- ..by passing a current through the tissue to be heated, e.g. high-frequency current-- ...Probes or electrodes therefor-- ....having a flexible, catheter-like structure, e.g. for heart ablation (A61B18/1477 takes precedence)","Pressure tubing and accessories. --Tubing, Pressure And Accessories",BYX
A61M5/14546,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Syringes; Irrigators; Baths for subaquatic intestinal cleaning (other apparatus for introducing medicines into the body A61M29/00-A61M37/00); Medical syringes, e.g. enemata; Irrigators (A61M5/00 takes precedence; pistons A61M5/315)-- Devices for bringing media into the body in a subcutaneous, intra-vascular or intramuscular way; Accessories therefor, e.g. filling or cleaning devices, arm-rests (vaccination appliances for veterinary use A61D1/025;  ; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; containers specially adapted for medical or pharmaceutical purposes A61J1/00; {combinations of vial and syringe for mixing or transferring their contents A61J1/20; holders for containers for collecting, storing or administering blood or medical fluids A61J1/16})-- .Infusion devices, e.g. infusing by gravity; Blood infusion; Accessories therefor-- ..Pressure infusion, e.g. using pumps-- ...using pressurised reservoirs, e.g. pressurised by means of pistons-- ....pressurised by means of pistons-- .....Front-loading type injectors","Pressure tubing and accessories. --Tubing, Pressure And Accessories",BYX
A61M5/007,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Syringes; Irrigators; Baths for subaquatic intestinal cleaning (other apparatus for introducing medicines into the body A61M29/00-A61M37/00); Medical syringes, e.g. enemata; Irrigators (A61M5/00 takes precedence; pistons A61M5/315)-- Devices for bringing media into the body in a subcutaneous, intra-vascular or intramuscular way; Accessories therefor, e.g. filling or cleaning devices, arm-rests (vaccination appliances for veterinary use A61D1/025;  ; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; containers specially adapted for medical or pharmaceutical purposes A61J1/00; {combinations of vial and syringe for mixing or transferring their contents A61J1/20; holders for containers for collecting, storing or administering blood or medical fluids A61J1/16})-- .for contrast media","Pressure tubing and accessories. --Tubing, Pressure And Accessories",BYX
A61K45/06,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing active ingredients not provided for in groups A61K31/00-A61K41/00-- .Mixtures of active ingredients without chemical characterisation, e.g. antiphlogistics and cardiaca","Ophthalmic conformer. --Conformer, Ophthalmic",HQN
C07D401/14,"CHEMISTRY; METALLURGY-- CHEMISTRY; INORGANIC CHEMISTRY-- ORGANIC CHEMISTRY-- HETEROCYCLIC COMPOUNDS-- Heterocyclic compounds containing two or more hetero rings; Heterocyclic compounds containing two or more hetero rings, having nitrogen atoms as the only ring hetero atoms, at least one ring being a six-membered ring with only one nitrogen atom-- .containing three or more hetero rings","Ophthalmic conformer. --Conformer, Ophthalmic",HQN
C07D417/14,"CHEMISTRY; METALLURGY-- CHEMISTRY; INORGANIC CHEMISTRY-- ORGANIC CHEMISTRY-- HETEROCYCLIC COMPOUNDS-- Heterocyclic compounds containing two or more hetero rings; Heterocyclic compounds containing two or more hetero rings, having nitrogen atoms as the only ring hetero atoms, at least one ring being a six-membered ring with only one nitrogen atom-- Heterocyclic compounds containing two or more hetero rings, at least one ring having nitrogen and sulfur atoms as the only ring hetero atoms, not provided for by group C07D415/00-- .containing three or more hetero rings","Ophthalmic conformer. --Conformer, Ophthalmic",HQN
A61N1/36038,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)-- Electrotherapy; Circuits therefor (A61N2/00 takes precedence; irradiation apparatus A61N5/00)-- .Applying electric currents by contact electrodes-- ..alternating or intermittent currents {applying electric fields by inductive or capacitive coupling A61N1/40; microwave apparatus A61N5/02}-- ...for stimulation-- ....of the outer, middle or inner ear-- .....Cochlear stimulation","Pacemaker test magnet. --Magnet, Test, Pacemaker",DTG
A61N1/0541,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)-- Electrotherapy; Circuits therefor (A61N2/00 takes precedence; irradiation apparatus A61N5/00)-- .Details-- ..Electrodes {electrosurgical electrodes A61B18/14}-- ...for implantation or insertion into the body, e.g. heart electrode (A61N1/06 takes precedence)-- ....Head electrodes (A61N1/0551 takes precedence)-- .....Cochlear electrodes","Pacemaker test magnet. --Magnet, Test, Pacemaker",DTG
A61B2017/00212,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .Electrical control of surgical instruments-- ..using remote controls","Pacemaker test magnet. --Magnet, Test, Pacemaker",DTG
A61K2039/70,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing antigens or antibodies (materials for immunoassay G01N33/53)-- .Multivalent vaccine","Shigella spp. serological reagents. --Antisera, All Types, Shigella Spp.",GNB
A61K38/2228,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing peptides (peptides containing beta-lactam rings A61K31/00; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, A61K31/00; ergot alkaloids of the cyclic peptide type A61K31/48; containing macromolecular compounds having statistically distributed amino acid units A61K31/74; medicinal preparations containing antigens or antibodies A61K39/00; medicinal preparations characterised by the non-active ingredients, e.g. peptides as drug carriers, A61K47/00)-- .Peptides having more than 20 amino acids; Gastrins; Somatostatins; Melanotropins; Derivatives thereof {enzyme inhibitors A61K38/005}-- ..from animals; from humans {enzyme inhibitors A61K38/005}-- ...Hormones (derived from pro-opiomelanocortin, pro-enkephalin or pro-dynorphin A61K38/33, e.g. corticotropin A61K38/35)-- ....Corticotropin releasing factor [CRF] (Urotensin)","Shigella spp. serological reagents. --Antisera, All Types, Shigella Spp.",GNB
C07K14/72,"CHEMISTRY; METALLURGY-- CHEMISTRY; INORGANIC CHEMISTRY-- ORGANIC CHEMISTRY-- PEPTIDES (peptides in foodstuffs A23; obtaining protein compositions for foodstuffs, working-up proteins for foodstuffs A23J; preparations for medicinal purposes A61K; peptides containing beta-lactam rings C07D; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, C07D; ergot alkaloids of the cyclic peptide type C07D519/02; macromolecular compounds having statistically distributed amino acid units in their molecules, i.e. when the preparation does not provide for a specific; but for a random sequence of the amino acid units, homopolyamides and block copolyamides derived from amino acids C08G69/00; macromolecular products derived from proteins C08H1/00; preparation of glue or gelatine C09H; single cell proteins, enzymes C12N; genetic engineering processes for obtaining peptides C12N15/00; compositions for measuring or testing processes involving enzymes C12Q; investigation or analysis of biological material G01N33/00)-- Peptides having more than 20 amino acids; Gastrins; Somatostatins; Melanotropins; Derivatives thereof-- .from animals; from humans-- ..Receptors; Cell surface antigens; Cell surface determinants {tumour specific antigens C07K14/4748}-- ...for hormones {for neuromediators C07K14/70571}","Shigella spp. serological reagents. --Antisera, All Types, Shigella Spp.",GNB
A61B1/227,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- .for ears, i.e. otoscopes",Otoscope. --Otoscope,ERA
A61B1/0684,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- .with illuminating arrangements-- ..Endoscope light sources-- ...using light emitting diodes [LED]",Otoscope. --Otoscope,ERA
A61B1/00009,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- .Operational features of endoscopes-- ..characterised by electronic signal processing-- ...of image signals during a use of endoscope",Otoscope. --Otoscope,ERA
A61M2205/18,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- General characteristics of the apparatus-- .with alarm","Ventilator tubing. --Set, Tubing And Support, Ventilator (W Harness)",BZO
A61G2203/20,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Ambulance service; General characteristics of devices-- .characterised by specific control means, e.g. for adjustment or steering-- ..Displays or monitors","Ventilator tubing. --Set, Tubing And Support, Ventilator (W Harness)",BZO
A61M2205/505,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- General characteristics of the apparatus-- .with microprocessors or computers-- ..User interfaces, e.g. screens or keyboards-- ...Touch-screens; Virtual keyboard or keypads; Virtual buttons; Soft keys; Mouse touches","Ventilator tubing. --Set, Tubing And Support, Ventilator (W Harness)",BZO
